,ID_INTERVISTATO,OVS.7_10_E_SMS
1595,6285_9_3e64518e788e47b8ada72350b9e7d019,Questa volta ho trovato gentilezza e professionalità oltre a comprtenxs
1600,6285_9_3e76c328dfe5c92592d87f1e34ac62d0,Hanno risolto  il problema
1604,6285_9_3eaad7697cba2765075ccf84554cf9d3,L’operatore e il tecnico meritavano anche più di 10!
1605,6285_9_3eb678598146f07cee28accee8e65306,Per la tempestività della risoluzione
1607,6285_9_3ecd358f76736f838df38fac04f2a795,Rapidità ed efficienza
1613,6285_9_3f1ba7106dbe4f0a9c4bc4c86118b9c9,L'operatrice è stata molto cordiale ed efficiente. purtroppo non è stato cosí con altri operatori che si sono mostrati presuntuosi e non in grado di risolvere il problema
1616,6285_9_3f36c46e0107fe7c32dd957556b73e06,Soddisfatto
1617,6285_9_3f3a2ba9e854c78cb0c2762d9286e97b,"Valutazione complessiva el sistema, non sono stato conta Tatto per la parte commerciale pur avendo richiesto un contatto per un chia Rimetto contrattuale."
1619,6285_9_3f45ebb0550a15b2b418f0df998cd4c0,"Ottimo supporto , veloce ed efficente"
1620,6285_9_3f47998317be5c0d430618034524d875,"Segnalazione guasto, intetvento e risoluzione problema in poco tempo."
1623,6285_9_3f64e69271a166fef8df0404a45fa35f,Competenza e celerità
1624,6285_9_3f6e3dc1da2592c1573cb0865dd83a68,Perché è stato risolto il problema in meno di 12 ore e di Domenica
1625,6285_9_3f765ffb7eaf1a3841b18d21703de0c6,Perché comunque ho dovuto chiamare più volte e ci è voluto 1 settimana per risolvere il problema
1626,6285_9_3f8b31f117fc8ab5c36d878d48306df1,rapidità
1628,6285_9_3f9acbf23989e9c13efee50969b658e7,Grazie
1630,6285_9_3fb54e582a1c66cc4f378c97d9d4a6bc,L'operatore)ha sollecitamente risolto.. Il fax inviato era del 2.1.18!!!
1631,6285_9_3fc021a322bda75b4a8a0b6d14013794,Tempestività
1634,6285_9_3fee5ab8bae2cad6007b7171f0b143bc,Perché fino ad ora sono rimasta soddisfatta
1635,6285_9_3fef0a186f6bedc14d6bdecce611427f,Il problema non riesco a risolverlo
1636,6285_9_40008bd7c9b1f8a1afb7df7575d6b56c,Il servizio è stato preciso
1637,6285_9_4002da728e5dbea6d3d72ad947c403b4,Ottimo il lavoro del vostro tecnico
1638,6285_9_40094e20e43044621803e8a9439c4fe0,Perché il problema è stato risolto in tempi brevi
1639,6285_9_400ea806ad4637cdcb35119f0c3f0b80,Mi hanno assistito fino ad esser sicuri di aver risolto il problema!
1641,6285_9_4038f071bdd43d8d55d44c40009bd275,Servizio efficiente e veloce!
1642,6285_9_403f8a15d98c590b7f7c361d7c216b65,Troppo attesa per rispondere .
1643,6285_9_40463c9084ef98442ed2458714c4c782,"Personale e tecnici competenti e cortesi. Ritengo che sia la linea a non essere perfettamente funzionante : adsl lento e difficoltosa, talvolta nulla, la possibilità di visione dei video."
1645,6285_9_406cbeff4656762104c15410eea1f913,Perché sono stato trattato con cortesia e professionalità
1648,6285_9_40832f478f5437f79178f1312c9d7eb8,Solo per assistenza eccezzionale la connessione è uno schifo ogni sera rimango senza linea
1649,6285_9_40a5139253732c27a6617ef9c078a614,Bene
1651,6285_9_40afb4e02ddd993d472018c67718a91b,Perché sono soddisfatto del servizio ricevuto
1652,6285_9_40b37659dd90ae782aa200175c1f44d4,"Si può sempre migliorare! In un primo tempo, dal 187, sembrava tutto regolare ma in realtà non lo era"
1653,6285_9_40b4b5ca2a7281a59833111b26bfc16a,Cordialità e professionalità
1654,6285_9_40bc2e7a0fb11b3646aaebf34419eb76,Servizio e problem silving celere
1655,6285_9_40c15fc4b03e9b7a97773b442b2acbbf,Celerità.. Cortesia
1657,6285_9_40d39f35bcff4eb4ea3ec1c244994927,Non do mai 10
1659,6285_9_40d6d4e16e2c27742c42a58096ecd540,Non mi è stato detta la causa del problema
1661,6285_9_4118cee46b1ee578c8c1b3c4851f0e7b,Estrema gentilezza dell’opera
1662,6285_9_41281c08f008f91d39186fbf61227703,Perché il problema è stato risolto dopo qualche ora
1664,6285_9_415a88cd98af9d18dac192cf7bb46595,Sono stata contattata dopo pochi minuti dalla mia segnalazione da un operatore molto cortese che ha risolto rapidamente il problema
1665,6285_9_41615085d385d97b35b0052902131d61,"Il problema è stato risolto, anche se con qualche intoppo"
1666,6285_9_417166be83c2927dd0683cd0c17902ac,Il problema è stato risolto ma non sono pienamente soddisfatta delle svariate e spesso inconcludenti soluzioni proposte dagli operatori.
1667,6285_9_4171ca38d01add92821b8af29c8a883c,"Non ho dato un 10 solo per il fatto che non ho avuto una spiegazione sul motivo de disservizio,del resto intervento risolto in tempi eccellenti!"
1668,6285_9_4173aee6ffdcf1a5c31f113c52fd7274,"Perché dopo aver parlato col 187, l'operatrice mi ha fatto chiamare da un tecnico esperto del problema, dall'accento Emiliano, che mi ha dato le informazioni dettagliate e cosi ho risolto"
1669,6285_9_4177426e2c0810cbeacfa061ffea95de,Competenza delle persone che hanno fornito assistenza
1672,6285_9_41999eb298a8c3a1d660925472fbfc25,Per la correttezza e velocità nel ripristino del guasto
1673,6285_9_419fc938d6d685cc854b9687b9fdaa73,Per tutto risolto con successo
1675,6285_9_41bc33d839e9461e786a4b5ecd682932,Gentile e preparata l’operatrice
1678,6285_9_41d27d87fb939b3b9cb8eaf71c7aeb88,Le risposte sono state immediate e i tempi rispettati  Inoltre ho potuto parlare direttamente con un tecnico
1679,6285_9_41d458c0255c810881312a708d2aa376,Rr
1681,6285_9_41fb9b3172c361c4c5046b2a3f1b5645,L'operatore mi ha correttamente  informato circa guasto e tempi di risoluzione  previsti
1685,6285_9_42266fafca564d85f0fd40ecc7016c1d,Sono efficentissimi!
1689,6285_9_4234e1e0bf3ab27fcf871e6eee3a8ddf,Veloce ed efficiente
1691,6285_9_424e880f4accce21142615ba7c8d0512,Abbastanza soddisfacente.
1694,6285_9_42680e0b9ac38953bdc2afa7995bee32,Operatrice competente e gentile
1696,6285_9_426fc85a0f2583e38134a08007e0282d,Velocità  del della riparazione  del guasto
1698,6285_9_429f9e248b29523ef17ab161a8f04357,E buono
1701,6285_9_42b2bf63ca911bd2bf20e61d9ac829e8,"Il problems è stato risotto in brève tempo è con ottimo collaboration è da parte del tecnico, con appyntamento telefonico"
1702,6285_9_42b2db3cb7530d5abda320f65ceca7f7,Tempestività ed efficienza del servizio
1703,6285_9_42b66bed12cfeb63562b37428293348f,Per la tempestività e la competenza dimostrata dall’operatore telefonico.
1708,6285_9_43236ff5d3644b9c5472212e08af3f02,Piccolo problema dopo uscirà del tecnico
1709,6285_9_4327672fcc8d850ba12b657175c47493,Efficienza nella risoluzipne problema
1711,6285_9_432f9732e7a1742fb91ae29d6251623d,.
1713,6285_9_435a7dfb6c1317e982961ac7698061d2,Perché si sono comportati bene
1714,6285_9_436caac3a3374f92e50f79abed37596c,L’operatore ha risolto prontamente la situazione con efficacia e gentilezza
1715,6285_9_438206f12863d6202e64ee35100e41c5,Mi sono trovata bene
1716,6285_9_4387d45184edeb56e17a2eb4f57fb512,Solo per la gentilezza degli operatori
1717,6285_9_43915d76c27162da6a3cd7a9b3e6e988,Perché sono stato soddisfatto dal tecnico con cui ho parlato per telefono e del tecnico che è uscito a cass
1718,6285_9_439d63df935bb60aa53842fd0ff9a05b,Il secondo tecnico che è intervenuto alla mia richista di guasto era molto preparato professionalmente....
1719,6285_9_43ad4734827649adb09bde2e35720dcf,Buono
1720,6285_9_43afb9f6b1ce6a15aa952fdaa5b57c40,Perché corrisponde alla realtà
1721,6285_9_43b102fbc3c816206d9eb0db45532626,Avrei dato 10 se fossi staTa avvisata prima dell'arrivo del tecnico
1722,6285_9_43c0106c4e25836649afd831696dee5b,Ok
1723,6285_9_43c0346da1c77586ed526c5970f69e34,Perché non ho avuto bisogno di sollecitare ed il tecnico era preparato.
1724,6285_9_43e77c45ef9e43c27e8feea7bab3745e,Vi spiego il motivo  per telefono. Grazie
1725,6285_9_43f197696936c3fdf5b7b4d7ea7ecad2,La azienda è stata sollecita e ha risolto il problema in tempi brevi
1728,6285_9_4418e49b428c74e64dbd06f472eba817,Veloci rapidi ed efficienti
1729,6285_9_441d62e2d52c15b57649898569f95c92,Risolvono il problema sempre
1730,6285_9_4429a5459bac3adeb11b84e7ba4951f8,C’è sempre un margine di miglioramento
1731,6285_9_4432fe2e27962aeed5ef8ca1bdc10e3a,Per la velocità e la cortesia.
1732,6285_9_4433c1d9ea10239c12e1edd5bcc295c9,E' andato tutto secondo le previsioni
1733,6285_9_443437b755996d2d9b2aa6a752d43dec,Avrei dato 10 sw avessi subito parlato con la seconda operatrice.fentile disponibile sveglia.il primo operatore e stato poco garbato e non ha provveduto alla risoluzione.
1735,6285_9_4440e671eb1af57b46a18c839bd80c62,Soddisfatto
1736,6285_9_4445ae101f7e5a8abe03c2469b50041c,"A parte l’attesa per risolvere il problema, però alla fine il tecnico che mi ha risolto il problema è stato gentilissimo e non è andato via fino a quando non  era tutto ok."
1737,6285_9_44463e276cfd4deb73c808d23b0cbf10,Personale competente e cortese
1738,6285_9_444e3c9eb5469374dc97c7192cccd952,Personale e esperto e professionale
1740,6285_9_446986a8c09389af359a8dc4a979e1c5,L'operatore ha dimostrato di essere molto preparato......la stessa cosa non si può dire per l'operatore della chiamata precedente
1741,6285_9_447ef815b49f415bf8b15094fab9740e,Sono stata soddisfatta
1742,6285_9_4490a0195d4cee872ef17da6b610af31,Abbastanza efficace
1744,6285_9_4499779e9cfce1b34e0c5415e8f5f626,Cortesia e celerità
1745,6285_9_449f8a7cb9d11790477608bb11611eaf,Efficienza
1747,6285_9_44e9662152b193645f51207a2854b5c6,Gli operatori sono stati cordiali ed il problema risolto nei tempi comunicati
1748,6285_9_44ea62c01a5202cc0a9bcb0642737973,Perché sono rimasto soddisfatto
1749,6285_9_44ec3de9fec1516c92088669a5ed5c38,È stato gentilissimo
1750,6285_9_44f338d53b3db420a3f92cab887f12f7,Son soddisfatto
1753,6285_9_4504c61ebba183e33a8336e3beee0bbd,10 e ' perfezione e rapidità
1755,6285_9_45160f0dd60e8f7f8b13acaec4caff74,solo per cortesia e competenza operatore
1758,6285_9_452a774dd9c4dba3924e5b03ab85546a,Rapidità nella soluzione
1761,6285_9_4567accf8b2e0e1f0b89348294bd24db,Il voto rappresenta una media fra i tempi di attesa per la riparazione e la riparazione effettuata al tecnico intervenuto avrei dato 10 per la professionalità dimostrata.
1762,6285_9_456bbac2bd10dc79bac92dd2610a679b,Grande attenzione al cliente.
1763,6285_9_458557162991c3cf630d6c9e43838d36,Competenza celerità nella soluzione
1764,6285_9_458a060c14cd22e58f1ee98c497c2b30,Non sono stati subito risolutivi
1766,6285_9_459d310737d654305b7b9fe6c12bef2e,Il secondo tecnica che mi ha contattato mi ha dato indicazione vaghe sulla procedura sostituzione modem asserendo che dovevo farlo rifare contrariamente a quando dettomi dalla collega in precdenza
1767,6285_9_45cb5713d22de32697fcc02c273f07c4,"Per competenza , gentilezza  Veramente contento e soddisfatto  Grazie"
1768,6285_9_45e294d81c292d46fe9c0bf162dc174b,Sono rimasta soddisfatta del servizio
1770,6285_9_4615912949dea31a43b2efbc651ba677,Nel complesso si potrebbe intervenire in tempi più rapidi
1771,6285_9_461d97436ff60531ef5b8f4c069daec1,Problema risolto velocemente
1774,6285_9_4632c3bc5dbb53de75dd7caa980de2d3,Risolto
1775,6285_9_4651177d0a5c263b3720c7a088c378f7,C
1776,6285_9_466afdaac499e4f43c3bb3c792486272,Perché non capiva e non credeva al problema che si verificava prima con la ADSL e ora con la Fibra alla mia linea. Nel contempo ha rese tanto e aggiornato il router. Questo 8 è per il suo impegno
1780,6285_9_46a1a52a273442c3f95cdb118a3f13d9,Per gentilezza e professionalita dell'operatrice
1782,6285_9_46cca10e4a5b102365e49208fce737eb,Ottimo lavoro di assistenza telefonica Dell' operatore con cui ho parlato
1788,6285_9_471a601490a627e9b75511166849ea57,Perché risolto in tempi brevi
1789,6285_9_472a51cd3e0b6722f9272ae66005ea70,Intervento tempestivo e risolutivo.personale calo center gentile e competente
1791,6285_9_47600bd87dd0865df069171c0a30a7bd,"Il problema era dovuto al modem, a cui non si collegavano in automatico i dispositivi mobili tramite Wi-Fi. Sostituito il modem il problema, al momento, sembra risolto. Ritirato però a Grosseto"
1792,6285_9_478be0ee8c1b9ed996e6afbb1342dd0d,Perche sono rimasto senza linea 2 giorni
1793,6285_9_47a536c44b563287014cf89659e05887,tutto ok
1794,6285_9_47a568bf8e2bed2cfb5ead458647c34c,Perché  l'inconveniente si È  risolto  in  breve tempo
1795,6285_9_47a946fcf783389914e11d742fd845f7,"Cortesia, velocità nel capire il problema e ottima preparazione per la pronta soluzione"
1796,6285_9_47af529ad46487bc34addab344789028,Sono stato soddisfatto
1799,6285_9_47e23a7eb8e3ca22137ede17bbac16b2,Perché sono rimasto completamente soddisfatto
1800,6285_9_47f8ce543c54f6c6fb75674be2678ff2,Perché sono soddisfatto
1801,6285_9_4805865afb51eb1e3eccb47cfc028f33,Lo ritengo giusto x servizio ricevuto
1802,6285_9_480ccd60773643af97f88c1033378aa9,Perché prima di risolvere e quindi di ricevere le chiamate ho dovuto aspettare due mesi .. e bastava solo riconfigurare il modem come ha fatto in pochi minuti l'ultimo operatore intervenuto
1803,6285_9_48290e5bad1089a4d66fd6c0789929d8,Sono di certo molto più bravi degli operatori telefonici che riagganciano fingendo che sia caduta la linea
1804,6285_9_48314e8d9d7e981f446f2cb10a2d81e9,Il guasto è stato risolto dopo circa 13 ore dalla mia segnalazione
1805,6285_9_48374eed3762641a800b5d8d8304449c,Semplice e ha risolto in tempi brevi
1806,6285_9_483dd3152983f070ec1ff47a842ecc2f,Siamo rimasti soddisfatti!
1807,6285_9_48577831de2c5e616ae668135e89ba00,Alla fine si è risolto tutto
1809,6285_9_486114988c63a00ec967a34e5ce61286,Cortesia e professionalità
1811,6285_9_48717f85f9b52997dc71e1a90ee8de0a,Intervento rapido. Tecnico competente e gentilissimo
1812,6285_9_48718ca83b8d25c060893b8e88601a53,Perla tempestiva risoluzione dei problemi.
1814,6285_9_488666ad39eb95735ca0b7b017efa42b,In generale sono rimasto soddisfatto dal servizio
1816,6285_9_48989e871be7ebeb3a04d0c382dece4c,Molto gentili e propensi a risolvere il problema
1817,6285_9_48ca86d72a170151f4d880418b4e7101,/   /    /     /
1818,6285_9_48e4000e62215e0ebbdcefc04b7a7431,Soddisfatto
1822,6285_9_48f9e6102185e5cc171fc4b6631b036c,Servizio molto efficiente operatore molto gentile guasto risolto subito bravi bravi bravi bravi bravi bravi bravi Bravi bravi bravi  Bravi bravi bravi bravi bravi bravi Bravi bravi bravi bravi bravi I
1823,6285_9_490653102c4953ee0dad642ef925a2e4,Soddisfa
1825,6285_9_49165fc63f71121c2d6e2a50f7d01e36,Non troppo sodisfatto
1826,6285_9_491cb17b2ee4d87a546b9e59a1dce9db,Velocità e competenza
1831,6285_9_4963d6dad0852c6df25b6969cf1e3d9d,Veloci e precisi
1832,6285_9_496e7112280a01ffb66449087c6cb57c,Per la cortesia dell'operatore e del tecnico e perché il problema è stato risolto
1834,6285_9_4990bc9939637c8ae422b87b0e255d51,Perché anche io lavoro in questa grande azienda !
1836,6285_9_49a77674d730f4703fd57f4914e5e9e9,Perché l’ooeratrice che mi ha risposto è stata cortese ed ha cercato di risolvere il problema è ci è riuscita adoperandosi in ogni modo.
1837,6285_9_49afaed87129c8b8676d63ec5f274cd8,Nonostante un sistema di segnalazione complesso i tempi di risoluzione del problema sono risultati contenuti
1838,6285_9_49b1609eec844e5c1eeb29e6ccc2ad12,Pienamente soddisfatta
1840,6285_9_49c37191eedf6c0147edf617b7bfcd4d,Sono state necessarie un paio di telefonate per ottenere l’intervento del tecnico
1843,6285_9_49e4950ed91c83a61b2fc0aa971de52c,Immediatezza e cortesia
1845,6285_9_49eb6b1676c538da327d19f05a54eb99,"Per il modo con cui e' stato gestito il mio problema, tempestivita' e professionalita'."
1846,6285_9_4a0bdeb73693f5eeb4936eb6c4a0a7f1,"Gentilezza e efficienza, tempi abbastanza brevi. Sempre rispettoso al telefono. Ma comunque 4-5 ore l’internet guasto non è molto buono per chi lavora."
1847,6285_9_4a144c3c69d77ba89b78e5afe36d1b97,Risolto in modo tempestivo
1848,6285_9_4a148e8731508c14cc1e5402ba9fb4fb,"Assistenza eccezionale, call center italiani ed avete risolto un problema in due giorni, con Fastweb in un anno non ci sono riusciti. Avanti così siete l’eccellenza italiana. Grazie"
1850,6285_9_4a1c393d3a32ec55d9ff6188f10d2a89,Perché il problema è stato risolto e nei tempi concordati
1851,6285_9_4a1e86138afa5039f5f49aaa1adf099b,Sono rimasto abbastanza contento nel risolvere il problema
1852,6285_9_4a1fa635428e10ef1b74e55e2286682b,Disponibilità e competenza dell'operatore cHe rispondeva dalla Calabria a differenza del precedente cHe si era dilungato in chiacchiere non pertinenti all'oggetto di cui avrebbe dovuto occuparsi.
1853,6285_9_4a22e65b49ba8cf3a7d15c0d340f2d09,Sia la persona che ha ricevuto  la richiesta che il tecnico sono stati discreti e tempestivi.  Rimane la linea telefonica e Wf ancora precario.
1854,6285_9_4a2a1d37f430303a9fbde3a222b24780,Tempestività
1855,6285_9_4a2cb4d5b2715afbcfda22a7de9a7244,Soddisfatta in tutto
1856,6285_9_4a3a93648b60e7a3af507c82ee3aa0b1,Per efficienza
1859,6285_9_4a574d0b16323d31cd1fcd764b59afad,"Problema risolto con competenza, gentilezza e rapidità dall’operatore "
1860,6285_9_4a61c28124dd5bf51e642c9f747c2cdf,Sono rimasto soddisfatto
1861,6285_9_4a633c43ae4cb32ec0039da0361fcbd4,Il modem non funziona
1862,6285_9_4a6359f0a96183a01a8622c82cf6b479,Operatore gentilissimo preparato. Ha individuato subito il problema è ha suggerito corretta soluzione
1864,6285_9_4a74032eb1b936f3d52b6f9e4f75432d,Per la gentilezza e per la professionalità
1866,6285_9_4a8c7cab4c72f7a39f5c299068b81776,Per la professionalità dimostrata dagli operatori
1867,6285_9_4a91c57a49a018904710e43827b1f22e,Servizio cortese e competente
1868,6285_9_4a9548eaafddf401fb37c72b5f80f777,Buona risoluzione del problema
1869,6285_9_4a9740a8f8f8e1da17dbc1f534765889,Per la risoluzione rapida dopo alcune prove. Penso sia stato  casuale
1870,6285_9_4a991a1b38176ff9a2262e61c93d23ca,Per gentilezza
1872,6285_9_4aa09d1ccacfe18f4ac9734d763d2b83,"Il problema è stato risolto parzialmente,la linea è ancora instabile, a volte arriva a 40 mega, spesso però va lento 2 o 3 mega..."
1873,6285_9_4abb8957c1890523ba07bb1233351ed5,Impeccabile come sempre.
1874,6285_9_4abbe81f2254dd96d23eaf89fd0b3f62,Per questo caso in particolare la risoluzione è stata celere e l'operatore con cui ho parlato è stato paziente e gentile
1875,6285_9_4ac1f3e9e15d9cb3cdf57cac95e3cc53,Pronta risposta alla richiesta
1876,6285_9_4ac4828535288764954dc622243f2ede,.
1877,6285_9_4ae943961ca0531aec9bcbd38ebb5563,L’operatore è stato molto disponibile e professionale
1878,6285_9_4aec8c4b5e0c830ad54766fa11d93946,al momento la linea funziona correttamente
1879,6285_9_4af0313e041b90e0043f93ed8e271fc9,Sono stati esaustivi
1882,6285_9_4b0a3086155119335e39e78d5e93f980,Il problema è stato risolto.
1883,6285_9_4b27dd6b900a0f9c08cbd0df5330f083,Per la correttezza degli operatori e la loro gentilezza
1884,6285_9_4b4108f77cc8d915b6d94035dc371598,Ho segnalato l'inconveniente in data 11 novembre 2017 con risoluzione il 27 gennaio 2018
1887,6285_9_4b63cd1ae92a90ec14692f9905bb4ea3,Efficienza
1888,6285_9_4b91b23216333b06928d216513f53999,avrei dato 10 ma ci è voluto troppo tempo per risolvere
1889,6285_9_4b96ca0ca27c0c1d60d9843339b3abac,Perché il problema s stato risolto e il tecnico è stato molto cortese ed educato
1890,6285_9_4b96e19474a5627c2ca92823ef7073d4,Per la gentilezza
1891,6285_9_4b97fb4dbcc89ea9fdbcdeb42d87173c,Perche ancora non e stato risolto niente telefono non funcziona
1893,6285_9_4bd08c691d0ba8c7b4468e795db056d2,"Gentilezza, disponibilità, competenza e cortesia"
1894,6285_9_4bd7b6318dcea480ea1024cbbf0bc1fa,Perché mi va bene così
1896,6285_9_4bd836a366592c0f021cfb579c37670e,Pienamente soddisfatto
1898,6285_9_4bedf0aa4fb904e5d3a4229396014cd1,Il problema è stato risolto ma sono stato impossibilitato all'utilizzo della linea per 24 ore
1900,6285_9_4bfc8c7827644d88afbaf76b05dec79c,Per la serietà dell'operatore
1902,6285_9_4c15a8ab8f3166eac45550f0096ae939,Prima ero con Wind e passavano almeno 2 giorni. Con Tim meno di due ore!!!
1903,6285_9_4c1ff2f98f06faafc94a2a5895d1edb1,Perché gli operatori seno molto gentili
1904,6285_9_4c310cc835f829f8d20ee6b8b25e0147,La cortesia e competenza dell'operatore
1905,6285_9_4c37fe90e24a92a011cfeea1bcafc8ce,Perché si
1906,6285_9_4c4504879e40fcde6cdb7236dcd650b1,"Questo era il terzo o quarto intervento che richiedevo, perché il problema mi si ripresentava anche dopo poche ore. Da qui sembra tutto ok. Devo dire che gli operatori sempre cordiali. Grazie"
1908,6285_9_4c50db2e328883590f8c7894d547c6ff,Perche' sono stati estremamente gentili ed efficenti
1909,6285_9_4c525fad5981b3ea8dd1afb14d7ad5f0,Per l’efficienza
1911,6285_9_4c580884ce6c1724e0177d202767a298,Il ragazzo stato gentile e competente
1917,6285_9_4cd9c585645dc182508d6add30b78ecd,Ho dato questo voto perché l'assistente è stato efficiente ma il problema del modem che ogni tanto non da segnale continua a presentarsi
1922,6285_9_4d054834e48d98faa839524d7f06e22a,Buona professionalità
1924,6285_9_4d1f068ef8bf57405703ae3c4ee7c6cc,"Eccellente professionalità mostrata dalla consulente che ha preso in carico la mia segnalazione.Davvero brava,educata,cortese!"
1925,6285_9_4d34f577e95f0f42fb428e92e4394363,Trovata la soluzione il giorno dopo la verifica per sito moden ########## /che si era nella  bloccato nella pagina ################### impedendomi il cambio dicanale dovendo far intervenire tec
1929,6285_9_4d486be241b02cddb787051537ae5c04,Il tecnico ha rilevato un problema sulla linea causato da altri che avevano operato sulla linea
1931,6285_9_4d631012c4b70dca59029b58a91b58a5,Chiarezza e competenza
1932,6285_9_4d699acb20f0fa950e6b94a83cec5092,"Operatori bravissimi ma la sostituzione dei cordless, per un guasto al cordless nero , è stato schifoso , ho atteso sette mesi ed ho continuato a pagare."
1934,6285_9_4d7dfe088b876cca8e1a8b916b39bef7,Operatore telefonico gentile e competente
1937,6285_9_4da3d98e729020db32f661e748df5fc6,Per il problema risolto velocemente e la disponibilità dell operatore
1939,6285_9_4da9ba7ae9864638169eb6e0505cf6ee,Problema risolto velocemente
1940,6285_9_4dae382da8038778bc362df3dbae9672,Il problema non e' stato risolto
1942,6285_9_4db3e1334366757c652bbff3eafe454a,Perché non solo ho risolto il problema ma il tecnico al telefono mi ha saputo dare dei consigli utili al riguardo...
1943,6285_9_4dc81c04c63d8263329af3481ffab7fe,Per la soluzione positiva del problema
1944,6285_9_4dc824a3af80a7c23f22901595df477f,Perché ha risolto il problema è mi ha anche avvertito che potrebbe ripresentarsi.
1945,6285_9_4dc88e7ddeb810dd19c1e33bed94e521,10
1946,6285_9_4e0599382be55cc4456502fc44242eaa,X la disponibilità
1948,6285_9_4e193abc5c7f379b7deaf0cd82dacd54,Il guasto è stato chiuso senza risoluzione
1949,6285_9_4e3be0e1a9388190e5da711228e5339e,non è stata immediata la soluzione
1951,6285_9_4e460cc6d35f60b40d1fe97bf5c0320b,Cosi
1952,6285_9_4e4d80caf03b2831ee91e21403e4791d,"Il problema è stato risolto soltanto dopo reiterati tentativi di contatto da parte mia, dove ogni volta ero costretto a ripetere quale era il problema."
1954,6285_9_4e5a4c474cac365d9cf833f94c733921,Perché i centralinisti si sono adoperati al massimo per cercare di risolvere il problema
1955,6285_9_4e669c856a4df1bf1c81da996afc6d19,Gentilezza e disponibilità dell'operatore
1960,6285_9_4e860b21d0b84e89cb0e299fe04bc289,Sarebbe stato  perfetto  Se non fosse per una certa difficoltà a trovare la linea libera al momento della chiamata
1961,6285_9_4e932071c86a1a7304fa1fa879863972,Per la celerità di intervento sulla centralina in strada
1962,6285_9_4e95652bb660bf0832cacb06835724ba,I tecnici ottimi purtroppo la linea è  degradata . Di più non possono fare.
1963,6285_9_4eb892c3833d7dc60bec15c7d6e4680b,Preparati e puntuali.
1965,6285_9_4edf514905e771a92771c77a411cd284,Per la cortesia e la preparazione .
1966,6285_9_4ee1fa5bd85e8b6c0bbde8beed8a17f0,Sono soddisfatta del servizio
1969,6285_9_4f060b51b135b539bb46a04d6cba206f,Ottima assistenza dell'operatrice
1970,6285_9_4f0e99737071a3a8fc615ed1d11455c6,Domanda stupida.
1972,6285_9_4f20d1bea5106c17ac7c7aa505e3b3ac,Problema risolto in tempi ragionevoli
1973,6285_9_4f20f3a00a1f79352a71d06c039c2cd8,"Perché il problema che ho avuto si è ripresentato più di una volta, dopo le segnalazioni effettuate"
1974,6285_9_4f2fb4b13164667a7550c3ff2eb7b9f6,Tutto bene
1975,6285_9_4f53266cc48ccfc0866dd9da160e40f9,.
1976,6285_9_4f65d09e63bf69c7fcbb379ae9d8111c,Ho dovuto aspettare tre giorni senza avere Internet prima dell'intervento del tecnico.
1978,6285_9_4f8d9a65cd71ec367717b9950c8adbe0,Serieta
1980,6285_9_4fa0e9410a3a54da3782080c63599887,Rapidi e bravi
1981,6285_9_4fa113705da20d0eb9cc22a61c30d644,Perchè si puo sempre migliorare.
1985,6285_9_4fbe598ceb8aaa9f44e1299b5fe2bf8b,Informazioni dal call center non sempre esaustive
1989,6285_9_50000235f76f0e39eeb7246b56c375dc,Soddisfatta
1990,6285_9_50026ece50814f2d32d9e7d28d78a582,Per la cortesia
1991,6285_9_5007ccb509c9d395e6ef408d51d97a41,L'operatrice é stata davvero efficiente e disponibile. Molto professionale e preparata. Bravissima
1992,6285_9_503af60b49f0902e36971b6d53ecab9a,Personale competente e professionale
1994,6285_9_505823d507d29f0433a0602b97035ba7,"Sono rimasto soddisfatto,sia della competenza dell'operatore,sia della rapida risoluzione del problema."
1996,6285_9_506b8cb052e2632f2f60eaf29189d73b,In quanto soddisfatto del risultato
1997,6285_9_50752fb0cc57fae260b2f2ccc2f92c4b,Perché il servizio è stato veloce r risolutivo
1998,6285_9_5078666486a1428d2401afc29308b206,Ho dovuto sollecitare 2 volte e sono stato senza internet per 36 ore
1999,6285_9_5081f2a149c6ec3eb30edb193b5754a5,"Alta professionalità, risoluzione tramite operatore e non voce guida. Telefonata di domenica mattina. Competenza dei tecnici al telefono, sul mio problema"
2003,6285_9_50a39def973a8af17dd4536073a639dc,La soluzione è stata molto.doddisfacente
2004,6285_9_50b060fb60a949f609eaacfdfe6c77c2,"10 per l'operatore . 8 per  assistenza , rete, etc"
2005,6285_9_50b47bf785637c8d44800c663544d319,soddisfatto
2006,6285_9_50b4aca6725f5841bdc988ba6b75ea4a,Si può migliorare
2007,6285_9_50bc74f51216794f18d29269951a8f80,Considerato disagio superiore 45 gg. tra commerciale e tecnico dovuto a recesso da proposta di seconda linea su linea fissa solo ultima operatrice dato giuste informazioni e azioni ripristino iniziale
2008,6285_9_50c1b13d55fc2d1f9b752d122be4d682,Bisogna snellire i passaggi x poter comunicare con operatore possibilmente italiano troppo laborioso x digitare i numeri esatti
2009,6285_9_50c71c8f0a30612e82fa171b7f1f649f,Problema risolto tempestivamente e correttamente individuato dall'operatore
2010,6285_9_50ccd99984f50b018a8b212d6ee17efe,Il servizio é buono
2013,6285_9_50d68406989532504adc101ea467ea91,Il tecnico è stato molto efficiente
2014,6285_9_50e8c22bed9a83c05b1adef2d0f3456f,Soddisfazione e velocità
