,ID_INTERVISTATO,SOLL_MOT
8239,6333_9_227c7cb6c192da28e588837076b6d2ad,"Perché non avete tempestivamente mandato un tecnico, che dopo miei continui solleciti, al 12 giorno è venuto per capire che il problema non era causa fulmine ma scadente collegamento dei fili nello Split esterno cabina, che tra l’altro a tutt’oggi è stato ripristinato con solo nastro isolante . Tutto questo ha comportato 12 giorni di non utilizzo della linea ufficio che pago profumatamente."
8240,6333_9_22aaa44f0f8216db73b6bb969f7e7e5b,Nessun intervento
8241,6333_9_22bec00c5e1f320c84435d7f15d6880c,Internet. Poca copertura.
8242,6333_9_22e2f8dd68b3986bfd95496c212343ef,Per mancanza di professionalità e tempestività
8243,6333_9_22f2cf0d8386cf3e58f5e01719f8e6b4,Il problema persiste
8244,6333_9_231ad94e988f2db22064ac7e2f236f98,"Considerato che la linea telefonica è di uno studio di un commercialista e che il problema non veniva risolto, ho sollecitato più volte. Inoltro ho già avuto un problema simile a novembre e sono stato senza linea fissa per quasi un mese. Oltre il danno la beffa, non mi è stato riconosciuto nemmeno un eurino di risarcimento/sconto, gli addebitati in fattura per un servizio NON usufruito sono stati interamente addebitati. SCANDALISO!!! DISAGI DISAGI DISAGI"
8252,6333_9_23befdbb7fc9e61076f63e76715be234,"Ho sollecitato per la configurazione dei miei telefoni Cisco con il modem fibra tim, e dopo intervento dei tecnici SOLTANTO IERI, hanno scoperto che non sono compatibili con lo stesso causandomi non pochi disagi, ad oggi sono senza telefono avendo dei terminali ip esperienza DELUDENTE al momento della sottoscrizione potevano avvisarmi in merito alla compatibilità del modem. Delusione totale."
8254,6333_9_24179da4339d664d3f8bb4434313f08a,Intervento non eseguito ma comunque fatturato!
8255,6333_9_241e5916d049f799d47a8e06186f0258,PERCHÉ AD OGGI IL TELEFONO NON FUNZIONA
8256,6333_9_242fc6754194f6703f8b6170d69d57d8,Non mi avete MAI risolto il problema. Il servizio clienti è pessimo
8262,6333_9_247e86e6d185021bf6db38fde91873c8,Perché la mia è  un’azienda e ci avete messo 30 ore per riparare del guasto
8263,6333_9_24939103fd77b4bc0551d8818d5cbd87,X urgenza essendo un ufficio
8265,6333_9_24aa89299ba97f90b3dc0c7e90111f7d,Nessun riscontro al ticket aperto e riparazione del gusto procrastinata
8266,6333_9_24b4e170b14babf4a4a441890facc7ec,Non era stato risolto nei tempi concordati
8268,6333_9_24c29d56f76811432f339de658838620,"Non risoluzione, alla fine ho dato disdetta di tutti i contratti con tim"
8269,6333_9_24c32481fe3472b319c541a792e82097,Non risolvevano e in azienda non avevo linee
8272,6333_9_250a7344ac7ff8adf942ee9dd562a82b,La linea adsl non veniva mai ripristinata correttamente
8274,6333_9_2552825e8a6d7ee124f95d85bcb17a77,Il guasto non è risolto
8276,6333_9_25593bab4d475e234aafc41126f5dc6d,"Xche in gli operatori mi davano informazioni diverse uno dal altro . Chi mi diceva che dovevamo pagare poi mi dicevano di no, poi il tecnico fissava un appuntamento e nn veniva e si ricominciava da capo. Questo X più di un mese e mezzo con una miriade di telefonate email etc."
8277,6333_9_256e1137bf4000f06596f34f1c2496f9,Perché il problema è sorto di sabato
8280,6333_9_25a7ded7461a52ad2dc735e665ce8bfe,Perché gli operatori quando non hanno risposte ti staccano la linea e perché ti rimbalzano da un numero verde all' altro senza darti una vera spiegazione. Inoltre ognuno di loro ti da una personale versione  del problema e della soluzione mettendo ancora più confusione
8281,6333_9_25a8e31f2fecbd7bcbdd79e69f9479cc,Tempi lunghi per la risoluzione del problema
8282,6333_9_25ba905ac4d6e95dbf852b1b3c0e3e50,Perché ancora ad oggi non ho ricevuto il modem
8286,6333_9_260e8afdbea0ec5a3b97e41c950a4c7e,Il cliente che che ci chiama con altri operatore sente che i ns numeri sono inesistenti... per questo motivo stiamo perdendo alcuni clienti. Stiamo valutando una rivalsa nei vs confronti perché non possiamo compromettere il ns lavoro cosi
8291,6333_9_264dcc08ff1309c3746b17d627fd0a2e,Utenza aziendale che veniva considerata privata
8293,6333_9_26817acecc3e484a10a454c1c3d7b0cf,Assoluta inefficienza del servizio
8296,6333_9_26dabf75057174b130f0be3c45f82fae,Il problema non veniva risolto
8299,6333_9_26fd98ea198d756afa1434b0af3ef0f5,Non mi hanno risolto ancora il problema
8300,6333_9_26ff635efc4fe38d17b8cf931225635b,"Non venivano rispettate le promesse da parte degli operatori, non mi è stai mai risolto il problema, sono stato preso in giro svariate volte."
8304,6333_9_273fded05c644854d21c99c8c30b8cf3,Perché non avete risolto
8305,6333_9_274d95785667ad6541439c7c6edbfdb9,Siamo senza linea da due settimane a causa di un vostro errore di configurazione: avete passato sotto fibra una linea ISDN!!!
8306,6333_9_2752fe13078f9865fa97b4d5225bc8ae,Perché dopo il 2giorno lavorativo non funzionava
8307,6333_9_2756d56710a001ae00dd82f38e369fb4,Perché la prima volta non avevamo risolto
8309,6333_9_27749d401640475a06a0e471ed03af18,"Perché sono passati più di venti giorni prima della risoluzione del problema. Tra l'altro un tecnico aveva mandato un sms di risoluzione del problema, ma il problema non era stato risolto, ho dovuto presentare una pec a TIM e prima ancora un ulteriore guasto ha impedito l'uso del servizio per altri 7 8 giorni."
8310,6333_9_278ee46f3d6e941018882db5446a2766,Perché siamo senza linea fissa e internet dal 20 Marzo 2018 e abbiamo un mancato incasso per questo motivo di migliaia di euro. Nessuno sa però risolvere il problema o dirmi come risolverlo o darmi una tempistica in merito
8311,6333_9_278f6c860159a7e21cc2fa2163a27290,Non risolveva il problema
8314,6333_9_27b733e46bfcf184705b55606ae30315,Ogni operatore telefonico dava tempistiche diverse senza permettere di capire quando sarebbe avvenuto l’intervento
8316,6333_9_27db20673cd66d3041f0433aced6ea7a,"Perché  non avevo né modem né connessione.Ora modem sostituito, ma connessione quasi inesistente. Ora, dopo grande guasto di zona, sembra che ve ne siate resi conto. Contattata infatti in seguito da operatoresono stata avvertita di un potenziamento di almeno 20%.Zona Gavorrano. Pr.Gr.Rimango per ora in attesa..."
8318,6333_9_27df1505f69e389c18bc72b5331563b8,Dopo installazione di due mesi fa e avendo ricevuto già la fattura la linea ad oggi non funziona
8319,6333_9_27f0f5a4eb6a808018a88e54c33e05e4,Nessuna chiamata a parte sms che diceva chiamata aperta e sara’ risolat emtro domani .... sono passati 9gg
8323,6333_9_28395787fe83e9342f24d05d8f6f1926,L intervento non è avvenuto entro i due giorni successivi
8331,6333_9_28b67af2025f64608dd213bd70a2e794,Nessuna richiamata dal tecnico per 12 giorni (anzi avviso con sms della risoluzione del problema quando non lo era) e senza linea telefonica per 12 giorni!
8333,6333_9_28df7f7606502b36dd43768db07d5c87,Ritardo attivazione
8337,6333_9_29226f8476ddaae93c6e5d65ddcc6b3b,Mancanza di richiamata concirdata
8338,6333_9_2939d1c0ad7278e4401e37095a256960,Il problema non è stato risolto.la linea prima della chiamata era lenta. Ora non c'è.
8341,6333_9_2a0648d294a39c1489a253bcf7038bcc,Perche il problema non  è risolto
8349,6333_9_2aa06d6e41d9f2b7313f7bd6efa88b05,Perché non c'è stato intervento tecnico
8352,6333_9_2ae667092dd9f69591174ae34fb55463,Perché con il primo intervento solo telefonico del tecnico non ho risolto nulla. È dovuto venire sul posto per risolvere il problema.
8353,6333_9_2b04bdbeb7cbd70aefe0ee5cec04ffa5,Per mancata riparazione nel giorno stabilito
8357,6333_9_2b3d05eaadc2faa9057861de7e03ede1,"Il vs tecnico molto poco professionalmente ha lasciato detto ai ns dipendenti di scollegare il modem Vodafone e di fare i collegamenti su quello Tim...non siamo capaci e non è compito nostro! Risultato: seconda linea inesistente, cordless esterno non funzionante, internet lentissimo ed inoltre abbiamo urgenza del trasferimento di chiamata ma nessuno di voi riesce a farlo funzionare. Da una settimana abbiamo Tim e stiamo valutando il rientro in Vodafone hanno un servizio assistenza fantastico ed immediato con personale che lavora con grande professionalità. Con loro i problemi sono sempre stati risolti tutti nella stessa giornata, anche con intervento del tecnico."
8358,6333_9_2b731fdfedb3477b8a3d7fcaf9750a9d,"Il tecnico telecom aveva lasciato il lavoro incompleto,spostando l'apparecchio per terra,sul pavimento.il giorno successivo,dopo una telefonata,è  venuto a risistemare l'apparecchio,chiudendo gli altri ingressi della linea telefonica!così dopo il suo intervento ho avuto problemi con ADSL! Quindi,il telefono funzionava,internet no!"
8362,6333_9_2bb55515eab9fcc6d9c265834e2825f9,"diversi operatori mi hanno suggerito diverse risoluzioni (tutte errate e fuori luogo) Il problema era nella vostra centrale telefonica, così dopo l'intervento del vostro tecnico, si è risolto."
8365,6333_9_2bcf147d93d7840ec9f0bad60d3e582a,"Essendo una farmacia non si può lasciare l’attivita Scoperta dalla linea telefonica.ogni giorno che si chiamava mi dicevano cose diverse, senza risolvere il problema."
8367,6333_9_2c036cef7e05d4d8366662414433030c,Il gusto non si risolveva e non mi davano ne tempistiche ne probabilità di risoluzione in tempi contrattuali
8369,6333_9_2c078a5c81ccaa94a65af84c785ea808,Non avevo avuto nessuna risoluzione del problema
8370,6333_9_2c169d06f054210d2cf6f25eb7a98713,Perché fate schifo
8378,6333_9_2c6bd646bc9af18ae5e3c7dd99ece8f7,"La prima volta il tecnico non si sarebbe presentato, la seconda il tecnico che è venuto non ha risolto, la terza il giorno seguente non stava venendo nessuno e alla quarta il tecnico che è venuto ha risolto subito"
8380,6333_9_2cae4ce687cdd1f4734f5b2b6cd1b9a6,Perché il problema persisteva e non veniva risolto. Fino a quando un operatore ha aperto guasto con intervento del tecnico a domicilio.
8382,6333_9_2ccfb66747866648207fc332f8fc13f6,Perché il disservizio riguardava il mio studio commercialista ed ero sotto scadenza
8389,6333_9_2d814d3b39656c45ea16d8179482b0e5,Perché mi avevano comunicato la risoluzione del problema che invece si è ripresentato dopo qualche giorno
8391,6333_9_2dc7219aadca29a2143034ea091ef1c0,Problema non risolto
8395,6333_9_2e36c90e7ba755707717e4fb0c6b77a1,"Dopo la prima comunicazione SMS che prometteva la risoluzione il giorno successivo, sono trascorsi due giorni e la risoluzione prevista è stata aggiornata a 15gg nella interfaccia web. Ho sollecitato per conoscerne il motivo e per richiedere una risoluzione più rapida"
8396,6333_9_2e3b24a49c0246843779cbfa98c52f3f,Siamo stati 20 giorni senza telefono.considerando attività commerciale
8401,6333_9_2e68198c9edc00d8accd349dfdc7560f,"Perché avete chiuso la segnalazione senza risolvere il problemi. Quindi ho richiamato e nuovamente fatto la segnalazione non più con operatore ma in automatico. Sono ancora in attesa di risoluzione, calcolando la mia un attività di ristorazione il weekend non posso permettermi di rimanere senza linea telefonica."
8404,6333_9_2eb29fed66d7f214741131f0ef7c85ba,In quanto erano vari giorni che ero senza linea telefonica in ditta
8405,6333_9_2eb7d419327193a371fa4174acf739d8,Senza sevizio adsl per 15 giorni
8408,6333_9_2ec4c1780679ade3311229bbb66e52fe,"Perché sono stato senza linea ADSL per un mese ed adesso con l'attivazione della fibra da una settimana non ho internet nella mia attività dove non posso farne a meno, ho ricevuto grossi danni economici"
8409,6333_9_2ecf3451cbb491d571a9d2252c7656d3,Perché il guasto non è stato riparato
8411,6333_9_2ee85a3e0b90d273bdba7fcb835681ab,Non avevo capito se il problema derivava dalla mia apparecchiatura o se era un problema della linea
8412,6333_9_2eeb5ed3ff0e7ae1e480cb0cc6fce353,Non mi ha chiamato nessuno
8414,6333_9_2f099e985e8435f410748ebc1a93dee8,Ritardo del tecnico
8415,6333_9_2f0cf9dbf8a7e65cc642b0f5fe3ab271,sempre il solito guasto e molto spesso. Risoluzione difficile
8416,6333_9_2f1561f1b0daa40f95cbb172200c7ee2,Tempo di risoluzione non rispettaro
8418,6333_9_2f5b544a1dcc7c1f0d2726d8ae217fb7,Mancanza servizio telefonico
8419,6333_9_2f7504a545ba1129896adecaee1ed68e,Non mi viene risolto il problema.
8420,6333_9_2fbb21d230f5ffa9b9b9b90e5f7bd9cc,Perché non avevamo la rete
8421,6333_9_2fea7762a17e5d89a521502313a8c1ab,"Non ci hanno ancora traslocato una linea da ben 2 mesi, ridicoli, vergognatevi"
8426,6333_9_302938ef9f2a39ae3cbe1bd00f4bfe88,Perché ho necessità di utilizzare adsl nin posso collegarmi ad Internet che mi è  necessario per poter lavorare . Sono 2giorni  che non posso inviare mail e comunicare con i clienti  all'estero.  La ritengo una cosa molto grave essendo adsl una necessita lavorativa. Cambieremo gestore
8427,6333_9_30429d4ce4f4d8bdfed6161ba8c37d3c,Non è stato mai consegnato modem relativo al contratto
8429,6333_9_3074c1be957a22336b15b58bc2ce843a,Meglio non commentare
8436,6333_9_30aeeed913de684786a771ee6c3c597c,"Per far disattivare il trasferimento di chiamata, il tecnico mandato ha detto di chiamare nuovamente il191, perché dovevano farlo loro. Poi chiamando il suo caposervizio ha sbloccato tutto"
8439,6333_9_30e983222403824f57ee768616f19134,Non ci era stato comunicato il tempo di risoluzione del problema
8442,6333_9_31180f0b9f7a4a37defa9fe2171bf047,"Trattandosi di uno studio tecnico di ingegneria e lavorando per l'80% in modo telematico, lo studio è stato fermo per ben 6 giorni avendo un notevole danno e disservizio lavorativo. Dopo ben 6 solleciti telefonici ed una PEC con richiesta urgente di intervento, ditemi voi se posso dare un giudizio positivo di tutta questa vicenda..."
8447,6333_9_31638bf1d9655009db40aa73fc141294,Perché il primo operatore Franco  ha fatto aggiornamento Non è riuscito a risolvere il problema e voleva passare un Tecnico a 29 € e io ho rifiutato  il secondo Operatore che ho chiamato Giovanni in 30 secondi ha fatto aggiornamento risolto il problema senza nessuna spesa Giovanni è stato bravissimo
8449,6333_9_316fc842b7bfe341f308979f3d67a550,Male funzionamento d’alla linea piu di una settimana!
8456,6333_9_31e7110f18be004c60dfd437ef55abee,Perché il problema si è ripresentato
8465,6333_9_3259a81d02169ad3adccaeca6d05a79c,Non riuscivo a parlare con il settore tecnico e ho dovuto telefonare 4 volte
8467,6333_9_326c72fe42bc182a10657ba0502d13ad,Ancora problemi sulla lineA
8471,6333_9_32d0ae5e7db9c2b79e40a10b2c57f73e,"Studio commerciale con 5 dipendenti e titolari fermi, senza poter lavorare per  una settimana. È una vergogna!"
8473,6333_9_32deb20d4307931ea73019c0d6c9c567,Il primo operatore che ho parlato non ha aperto la segnalazione di guasto .ho dovuto chiamare ancora e sollecitare.il secondo operatore è stato molto gentile
8479,6333_9_33d2a0f243a6bd86c448f76d2b4d67a0,Dopo la comunicazione di avvenuta riparazione il problema sussisteva
8481,6333_9_33f6919545199c0fc26dc4462a32eb7b,Perché la ADSL non veniva ripristinata
8485,6333_9_342de6d3f8fa1c69b2739115dc263bbc,Avevo la linea isolata e non potevo più lavorare con internet
8490,6333_9_34861005a6a772b62d8d09914f16b740,Nn hanno risolto il problema
8491,6333_9_34a3457b152ad8a076b20ec215241c88,Problema non risolto
8492,6333_9_34d5b5cd2f2a2a2022b842e7fcce56f4,"Per un’azienda rimanere senza adsl per 12 non è proponibile, purtroppo si lavora solo con internet, abbiamo avuto parecchi disagi"
8494,6333_9_34e8be41ba8dd8524294d5517af87478,Il problema non e stato risolto dopo 20 gg.
8499,6333_9_357e05138b284e85f54be51908998812,Ho 3 segnalazioni aperte da risolvere !!!
8502,6333_9_35951c94f3d0bd5c0f04a4f3a6da92ad,perché siamo stati fermi per 2 ore completamente ed ora funziona in parte ma non si riesce a chiamare
8503,6333_9_35dd57c9b4ebe2625167b329e2d56d89,Perchè il problema continua a ripetersi nonostante mi diate sempre conferma che è stato risolto.
8505,6333_9_35fc5becb1b41423945cfa70d5213aba,Perché il problema ancora persiste anzi è peggiorato dopo l’intervento di 5 tecnici
8506,6333_9_36031448aef3c418e6ff500856a214ed,"Non risolvevano e non interveniva nessuno,siamo stati più di un mese con il guasto alla linea!"
8507,6333_9_3626eb11bb93e1bc59a0787b41fde3ec,Perché non mi veniva detto cosa si stava facendo per risolvere il problema e la mia attività era bloccata
8511,6333_9_366304d47f353078ca67adda43c25655,Non si sentono i telefoni. Non si sente la voce. Sistema integrato da Agosto. Una disperazione. Siamo in procinto di denuncia alle autorità competenti. Servizio sanitario in questa sede. Con spedizioni di pubblicita6 massive che n
8515,6333_9_36b0555d899e9b8269721fc798142903,È passato più di un mese e mezzo dal primo sollecito
8517,6333_9_36b9089ace8f7c206586ba21a819070f,Mancata risoluzione del problema
8518,6333_9_36c6fbf510e864f78ca4548858ebf765,Problema che si riproponeva identico
8519,6333_9_36c97be877d6571b2ee991d859851688,"Avevo un contratto fibra ho cambiato l’intestazione della linea e mi hanno fatto la trasformazione in rtg+adsl ,era passato un tecnico e aveva eseguito il lavoro dopo qualche giorno la FONIA non funzionava più,avevo chiamato più volte il 191 (da gennaio) senza mai risolvere,ho dovuto chiamare un mio amico  che lavorava in TIM che miracolosamente ha chiamato ed è riuscito a far intervenire un tecnico che ha risolto il guasto (in centrale??) ."
8520,6333_9_36d09c26473cc4c5b1b5d7c6a17f5c66,Perché uno stronzo del vostro operatore mi ha ingannato facendomi un contratto forfettario pagando il doppio della cifra richiesta. magari fallite!!!!!!
8522,6333_9_36ffa7c3022e21f47dceda63d3ef6001,Linea telefonica negozio
8523,6333_9_3708d4507e7525fcaff5fa8c32cd0706,Perché nessun operatore era esauriente!!nessuno era in grado di attivare un trasferimento di chiamata! Pessimi
8525,6333_9_3726cf08073e4f27c1f116799f30d7ec,"Perché, era Pasqua."
8527,6333_9_377953e3ac5f8d31cefaf5e3d46b3244,Rete ADSL
8528,6333_9_378b45afe0d016603def4622f40084cc,Nn arrivava il tecnico
8529,6333_9_37972c16d9eb4a47a21bbc810ef4f33a,"In quanto problema non risolto, senza sapere tempistica"
8530,6333_9_37a112794893ed8f76d625716a60b5d4,Ho avuto un problema con adsl alla quale è legato un pos della banca essendo un negozio. Non ho potuto accettare pagamenti pos x 4 gg
8531,6333_9_37e0e5217cacb91b2ed59500ef60bbba,Dieci giorni senza internet e voce.Una vergogna e un grave danno per la mia azienda Dove fare reclamo per risarcimento danni ?
8534,6333_9_37f3a2ede238e73dd1b987ac1e64c11d,Non è stato risolto il problema è nessuno ci dice c’è niente è una presa in giro
8536,6333_9_380d758d97863339ac3ab6dc321d214c,"Rispetto alle 48 ore promesse, la soluzione è stata fatta dopo 8 gg ed essendo attività commerciale è stato un grosso problema"
8540,6333_9_38493816a9e4310fede05fcba5c91b3a,Ritardo rispetto alle 24h
8545,6333_9_38afe36d0e9d363b13a864028b690821,Perché sms diceva 1 giorno x la risoluzione del problema
8548,6333_9_38c65b9c96ccc2389d7bdc26d9ee716f,Bisogno urgente del servizio
8551,6333_9_392475c85779c63874766021fe24756b,Dopo diversi mesi il problema continuava a manifestarsi
8552,6333_9_393e5cd880cfe549454823733e1be135,Per il disservizio che mi avete causato da quando sono rientrato in Tim e che tuttora non mi avete risolto
8554,6333_9_3983cd5fe7318f8ecedde525efffa8ca,Tempi troppo lunghi
8555,6333_9_3984e4e25fd3381b14407266addd9925,Perché dopo giorni non si è visto nessuno in ogni caso il tecnico ha chiuso il guasto ma la linea internet non va siamo molto arrabbiati .paghiamo un servizio che non abbiamo.passeremi ad un altro operatore che ci costa decisamente meno
8562,6333_9_39d09d5d46a68c37c1a0f3c0e720ccc4,Nessuna risposta in merito ma solo risposte vaghe sul da farsi.. purtroppo io lavoro con internet e voce in quanto siamo studio dentistico con laboratorio odontotecnico
8564,6333_9_3a2c53167c76eb18fbe5917d9699f8ec,Ho chiamato molte volte per lo stesso problema
8567,6333_9_3a71703eca07c9a19b330f88b39783a6,Il problema persiste
8575,6333_9_3ad9fac88a3958c854f870ffe47a77b1,Perché dopo 3 gg con call center tecnici incompetentementi mi hanno mandato un tecnico
8576,6333_9_3aed29c0ef21064941a8e043786a1d34,Facciamo servizio sanitario con ambulanza per emergenze e internet ci serve per connettersi al 118
8579,6333_9_3b08331a2bebc63121eb988c8d413686,Mancanza di linea
8581,6333_9_3b37f6624dba2612b800625d46c53490,"Perché il modem lo pago ogni mese,e sono obbligata ad usare il vostro perché per contratto è così,e NON FUNZIONA. Io le bollette le pago senza mai sgarrare ma quando si tratta di avere a che fare con voi è una pena,per non dire uno SCHIFO.siete una massa di ladri e avete degli operatori incompetenti perché c è gente che non è in grado di fare il lavoro per cui è pagata. Abbiamo un abbonamento con voi anche in trattoria e ci avete lasciato 10 giorni senza pos perché la linea non andava a causa di tecnici vostri che hanno lasciato il lavoro a metà, ripeto è uno schifo."
8582,6333_9_3b3af002e89b2058d645e36a8751a511,Perché ancora oggi il problema non è risolto. Il segnale internet è molto incostante. Mesi fa è venuto un vs operatore a pagamento. Sembrava tutto risolto ma ancor oggi non possiamo collegarci sempre.
8583,6333_9_3b47bacb58c1263f4024ff2a1f8a825f,Per mancato intervento
8585,6333_9_3bb5e0f2cf8c1ae35be126c69296e6ac,Non e’ stato risolto il problema
8586,6333_9_3bea3883656498490a1f4fca42958a9b,E una vergogna lasciare un residence che lavora con il telefono 5 giorni con la niea isolata!!!!
8589,6333_9_3c2bdc09f3432fe3061358e5f25d759c,Risponde in disco non si sa niente e dopo tre giorni nessuna notizia uno schifo totale
8590,6333_9_3c2d07905bde21e4e1eb178b5d960fa6,"L'anomalia non riuscivano ad individuarla perché, dicevano loro, si trattava di linea dati."
8592,6333_9_3c75c383ba29728c587287a92e0aef75,Dal 13 novembre 2017 la linea di è rotta almeno 4 volte e negli ultimi 10 anni almeno una volta all'anno.
8594,6333_9_3c8b7259931a876ca64ef8bbf6905daa,Da dicembre 2017 ad oggi la linea ancora non funziona
8595,6333_9_3c9084e0e6c14726fa06be322a1c1d81,Scarsissimo segnale ADSL
8597,6333_9_3caa05ee8904f1bb58474cc0a5dd35dd,"abbiamo contattato tutti i giorni per una settimana il 191, in quanto le nostre attività sono rimaste senza linea per più di una settimana."
8600,6333_9_3cc1fc55954363c6afa3c7b834d44dcb,Perche o non veniva nessumo o chi vebiva diceva che non era competenza sua
8602,6333_9_3d21fb49bf474a6a61a48616a252294a,Per il ripetersi del problema nell'immediato
8603,6333_9_3d29d668f37964ae5ccbbbe7c14e20c9,Nessuno sa rispondere e mettere in contatto con ufficio dedicato .... promesse  di essere richiamati MAI mantenute e sono qui al ########## in attesa
8604,6333_9_3d412d1ccb2ea9689ab90a20e489e559,Il problema non è stato ancora risolto
8605,6333_9_3d4262f0374c703899d3773999cc20e5,Perché il problema non veniva risolto
8608,6333_9_3d8b532a70763eb19dd9b30c5db51629,Il problema persisteva
8613,6333_9_3dffba71883045911805e8c046c5e55b,"Dopo la segnalazione sembrava risolto ma il problema si è ripresentato ed è stato poi risolto dal tecnico in centralina, quale mi ha avvisato del problema risolto"
8616,6333_9_3e520d7425fe5fa116f6bb157395aa6b,Perché uno studio di 15 persone non può rimanere senza telefono in un mese e mezzo ben 3 volte per un totale di 7/8 giorni di isolamento totale UNA VERGOGNA
8618,6333_9_3eaa301816655fd6ac3392e8fe1708dc,Perché non veniva nessuno e nessuno risolveva il problema. Si consideri che è un ufficio. Veramente vergognoso
8621,6333_9_3ec220827356ed20d3f6722a398bdfa6,Perché ho ricevuto risposte evasive
8625,6333_9_3f3ceca86eebcfed0151659290723ecd,Problemi di interferenze sulla mia linea adsl WiFi di terze persone non autorizzate
8626,6333_9_3f845d15a636261c319469326809a160,Perché non stato ancora risolto il problema
8629,6333_9_3f9aa2e60041f383fe97aa338c7ffef5,"Perchè il sistema di segnalazione dei malfunzionamenti semplicemente non funziona. NON sono state passate al tecnico le informazioni DETTAGLIATE del problema che abbiamo fornito all'apertura della segnalazione. Il quale ha solo potuto accertare che il problema era evidentemente negli apparati di rete di secondo livello: non nella nostra linea, nè nella connessione tra il modem e la centrale che funziona perfettamente. Il sistema di segnalazione guasti (191) è apparentemente costituito da persone gentilissime, ma assolutamente non formate, che non sanno di cosa stanno parlando. E che a cui non è stato fornito un meccanismo decente per valutare quando la richiesta è da passare ad un tecnico competente, con cui poter fornire le informazioni necessarie ad una risoluzione. Che evidentemente NON è l'obiettivo del sistema che avete messo in piedi."
8637,6333_9_402a47895be9c771806bbaf2fc7fc63e,Mi hanno tolto la linea telefonica senza una mia autorizzazione
8638,6333_9_4037d72d0bb7f52ba4c6c4b9f9ac6b01,Per non aver risolto le problematiche denunciate
8639,6333_9_404d76d7568a0f0e8f195656c18056d4,Nessuno risolveva il problema
8642,6333_9_406e579f94cf8875cc0ded49ef66284e,Perché il guasto è avvenuto di venerdì e risolto di martedì
8649,6333_9_409e6a63d5644e799189d753666bd8b1,Non usciva il tecnico
8652,6333_9_40d1d27a956eb7c59555e839d66ab47c,Perché  il problema persiste nonostante  la  mail  che l'operatore  mi ha comunicato di inviare
8653,6333_9_40d49a6ef4bb242e0101163c325d9e7b,"Nonostante l’appuntamento preso il tecnico non si è presentato. Gli operatori bugiardi il giorno dopo mi hanno contattata dicendo che avevano provato tutto il giorno a chiamare, peccato che telefono alla mano non era vero! Operatrice  mi ha inveito contro maleducata (prego ascoltare registrazioni). Ho risolto a pagamento per conto mio mediante intervento di un tecnico esterno alla tim, rinunciando al Wi-Fi. Capisco perché siete un’azienda in difficoltà. Avete ciò che meritate. Procederò ad un reclamo formale informando il codacons è il consiglio dei ministri. Obbligate ad un intervento a pagamento con condizioni sperequate. È un vero abuso. Siamo stufi di subire. Qualunque piccola azienda normale con una gestione del cliente di questo tipo sarebbe già fallita. Vergogna"
8654,6333_9_40e3c45ef8803eff17047778ee5c77ea,"la pratica rimaneva bloccata, per non si sa quale motivo. da ottobre (apertura segnalazione) risolta il 18 marzo"
8656,6333_9_411f6d004b847e74becabb04fed1a11b,Guasto non risolto
8659,6333_9_41615330f5d9f1046373117e829c9941,Linea telefonica isolata con impossibilità di usare impianto di allarme e pos
8660,6333_9_416e81fdb509916d042560baa33ea22e,"Perché il primo tecnico non ha effettuato intervento dovuto nella cassetta del palazzo, in pratica siamo rimasti altri 2 giorni senza telefono grazie al primo tecnico ¿¿"
8661,6333_9_4180f186eebedb80675762a5a7e94162,Perché sono senza linea aggiuntiva e non mi funziona il POS ....CAZZO
8662,6333_9_41887c79bb0b46f0928e3de4d519858d,Mancanza totale di linea e visto che ho un'attività commerciale è stato un grosso disagio co conseguente perdita di incassi
8663,6333_9_41975697a29c40d2360634f2f405980b,Perché nessuno mi ha dato indicazioni precise in merito
8664,6333_9_419a27a85615798fa7d28ae584de7ed0,Perché essendo un studio con scadenze il problema da giovedì l'intervento è stato il lunedì e il tecnico ha comunicato che la segnalazione a lui e avvenuta solo il lunedì
8665,6333_9_419ba7e8499345fa80ebbd202e03e5e6,È dal 28/2 che siamo senza telefoni in due sedi operative collegate sullo stesso primario. I clienti non riescono a contattarci e gli uffici operativi sono in grave difficoltà.
8666,6333_9_41b0958c79d75748bd4f3ca5d1744cc0,Linea voip assente dal 22/01/18. Al 21/02/18
8667,6333_9_41c55dd276fb3563fa99f448fd8d658e,"Perche abbiamo fatto un nuovo contratto ma dopo mesi ancora ci devono mandare modem e cordless , alcuni operatori sono anche scortesi !!!!!"
8671,6333_9_41ffebad43442fcd4c3562fc11fcde5b,Linea ufficio completamente isolata a seguito di guasto sulla linea di un vostro cattivo lavoro di cui chiederò i danni
8672,6333_9_420a3fc4ca64a525ef93dc869982bf93,Il problema si è ripresentato
8677,6333_9_426cb00e38f9127ad2d29c28e5a01a51,"Per disabilitare un servizio sul router che era stato attivato ai soli fini dell'assistenza ma che andava poi disabilitato. Il problema non é il tecnico che lo ha dimenticato, può succedere, il problema é che nonostante i solleciti non sono stata riscontrata dal servizio tecnico per intervenire su questo strascico. Anche il rispondere KO all'sms non é servito."
8690,6333_9_43784397b8991f5aa90783a878061d1c,Non si risolveva il problema.
8692,6333_9_437e74a6bd9fb6be1e5156ddddc1d48b,Il guasto non riuscivano a risolverlo solo dopo 40 gg sono riusciti
8695,6333_9_43a57457d26cdc85d5e6f7eb5d740527,Per che dal 11 novembre 2017 sono senza.telefono ed oggi 9.3.2018 ancora non funziona nonostante sollecito e 3 lettere di reclamo
